id,walking_sequence_id,step_order,left_hip,left_knee,left_ankle,center_hip,center_ankle,center_foot,center_knee,right_hip,right_ankle,right_knee
27,8,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
48,15,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
49,15,2,116.0,111.0,121.0,121.0,134.0,95.0,180.0,116.0,122.0,123.0
50,16,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
51,16,2,116.0,111.0,121.0,121.0,134.0,92.0,180.0,116.0,122.0,123.0
52,17,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
53,17,2,116.0,111.0,121.0,121.0,134.0,88.0,180.0,116.0,122.0,123.0
54,18,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
55,18,2,116.0,111.0,121.0,121.0,134.0,93.0,120.0,116.0,122.0,123.0
56,19,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
57,19,2,116.0,111.0,121.0,121.0,134.0,95.0,130.0,116.0,122.0,123.0
58,20,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
59,20,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
60,21,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
61,21,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
62,21,3,116.0,111.0,121.0,121.0,134.0,90.0,165.0,116.0,122.0,123.0
63,22,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
64,22,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
65,22,3,116.0,111.0,121.0,121.0,134.0,93.0,180.0,116.0,122.0,123.0
66,23,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
67,23,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
68,23,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
69,24,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
70,24,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
71,24,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
72,24,4,116.0,111.0,121.0,121.0,134.0,96.0,110.0,116.0,122.0,123.0
73,25,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
74,25,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
75,25,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
77,26,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
78,26,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
79,26,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
80,26,4,131.0,91.0,136.0,121.0,134.0,96.0,180.0,101.0,107.0,143.0
81,25,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
82,27,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
83,27,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
84,27,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
85,27,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
86,28,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
87,28,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
88,28,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
89,28,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
90,28,5,141.0,141.0,106.0,121.0,134.0,96.0,180.0,91.0,137.0,93.0
91,29,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
92,29,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
93,29,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
94,29,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
95,29,5,141.0,141.0,156.0,121.0,134.0,96.0,180.0,91.0,87.0,93.0
96,30,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
97,30,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
98,30,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
99,30,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
100,30,5,141.0,141.0,161.0,131.0,134.0,105.0,180.0,91.0,82.0,93.0
101,31,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
102,31,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
103,31,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
104,31,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
105,31,5,141.0,141.0,161.0,131.0,134.0,130.0,90.0,91.0,82.0,93.0
106,32,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
107,32,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
108,32,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
109,32,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
110,32,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
111,33,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
112,34,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
113,34,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
114,34,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
115,34,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
116,34,5,126.0,126.0,121.0,131.0,134.0,80.0,30.0,106.0,122.0,108.0
117,35,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
118,35,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
119,35,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
120,35,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
121,35,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
122,36,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
123,36,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
124,36,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
125,36,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
126,36,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
127,36,6,141.0,141.0,161.0,101.0,134.0,105.0,10.0,91.0,82.0,93.0
128,37,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
129,37,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
130,37,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
131,37,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
132,37,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
134,37,6,141.0,141.0,161.0,70.0,134.0,105.0,20.0,91.0,82.0,93.0
135,38,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
136,39,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
137,39,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
138,39,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
139,39,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
140,39,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
142,39,6,141.0,141.0,161.0,35.0,134.0,115.0,40.0,91.0,82.0,93.0
143,40,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
144,40,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
145,40,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
146,40,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
147,40,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
149,40,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
150,41,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
151,41,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
152,41,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
153,41,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
154,41,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
155,41,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
156,41,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
157,42,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
158,42,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
159,42,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
160,42,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
161,42,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
162,42,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
163,42,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
164,42,8,126.0,141.0,131.0,90.0,134.0,100.0,110.0,106.0,112.0,93.0
165,43,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
166,43,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
167,43,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
168,43,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
169,43,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
170,43,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
171,43,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
173,43,8,171.0,141.0,136.0,90.0,134.0,100.0,110.0,61.0,107.0,93.0
174,44,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
175,44,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
176,44,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
177,44,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
178,44,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
179,44,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
180,44,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
182,44,8,161.0,141.0,136.0,90.0,134.0,100.0,110.0,71.0,107.0,93.0
183,45,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
184,45,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
185,45,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
186,45,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
187,45,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
188,45,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
189,45,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
191,45,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
192,46,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
193,46,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
194,46,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
195,46,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
196,46,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
197,46,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
198,46,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
199,46,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
200,47,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
201,46,9,131.0,141.0,121.0,115.0,134.0,100.0,155.0,101.0,122.0,93.0
202,48,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
203,48,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
204,48,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
205,48,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
206,48,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
207,48,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
208,48,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
209,48,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
211,48,9,161.0,141.0,86.0,115.0,134.0,100.0,160.0,71.0,157.0,93.0
212,49,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
213,49,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
214,49,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
215,49,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
216,49,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
217,49,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
218,49,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
219,49,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
221,49,9,136.0,141.0,180.0,115.0,134.0,100.0,155.0,96.0,37.0,93.0
222,50,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
223,50,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
224,50,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
225,50,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
226,50,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
227,50,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
228,50,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
229,50,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
231,50,9,136.0,141.0,140.0,90.0,134.0,100.0,155.0,96.0,70.0,93.0
232,51,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
